💝中国港澳👉全网,#genre#
tvbs闽南频道,http://59.127.17.227:8575/http/61.67.128.137:8081/hls/75/817/ch58.m3u8
tvbs欢乐频道,http://59.127.17.227:8592/http/61.67.128.137:8081/hls/65/807/ch17.m3u8
三立闽南频道,http://59.127.17.227:8519/http/61.67.128.137:8081/hls/65/807/ch20.m3u8
三立都会频道,http://59.127.17.227:8528/http/61.67.128.137:8081/hls/65/807/ch19.m3u8
中天综合频道,http://59.127.17.227:8559/http/61.67.128.137:8081/hls/67/809/ch25.m3u8
中天娱乐频道,http://59.127.17.227:8570/http/61.67.128.137:8081/hls/67/809/ch26.m3u8
东森财经频道,http://59.127.17.227:8546/http/61.67.128.137:8081/hls/63/805/ch11.m3u8
东森综合频道,http://59.127.17.227:8541/http/61.67.128.137:8081/hls/63/805/ch12.m3u8
东森戏剧频道,http://59.127.17.227:8590/http/61.67.128.137:8081/hls/64/806/ch13.m3u8
东森超视频道,http://59.127.17.227:8556/http/61.67.128.137:8081/hls/64/806/ch14.m3u8
东森幼幼频道,http://59.127.17.227:8515/http/61.67.128.137:8081/hls/63/805/ch09.m3u8
龙华戏剧频道,http://59.127.17.227:8523/http/61.67.128.137:8068/hls/13/80/cstv13.m3u8
龙华日韩剧台,http://59.127.17.227:8524/http/61.67.128.137:8068/hls/12/80/cstv12.m3u8
龙华偶像剧台,http://59.127.17.227:8555/http/61.67.128.137:8068/hls/11/80/cstv11.m3u8
龙华卡通频道,http://59.127.17.227:8522/http/61.67.128.137:8068/hls/14/80/cstv14.m3u8
龙华电影频道,http://59.127.17.227:8556/http/61.67.128.137:8068/hls/10/80/cstv10.m3u8
纬来电影频道,http://59.127.17.227:8579/http/61.67.128.137:8081/hls/69/811/ch35.m3u8
纬来综合频道,http://59.127.17.227:8518/http/61.67.128.137:8088/hls/68/810/ch32.m3u8
纬来戏剧频道,http://59.127.17.227:8593/http/61.67.128.137:8081/hls/69/811/ch33.m3u8
纬来日本频道,http://59.127.17.227:8537/http/61.67.128.137:8081/hls/69/811/ch34.m3u8
纬来育乐频道,http://59.127.17.227:8584/http/61.67.128.137:8081/hls/68/810/ch30.m3u8
非凡商业频道,http://59.127.17.227:8545/http/61.67.128.137:8081/hls/74/816/ch56.m3u8
韩国娱乐频道,http://59.127.17.227:8523/http/61.67.128.137:8092/upload/116/KMTV_TS-1111_1.m3u8
八大第一频道,http://59.127.17.227:8584/http/61.67.128.137:8088/hls/66/808/ch22.m3u8
八大综合频道,http://59.127.17.227:8520/http/61.67.128.137:8088/hls/66/808/ch21.m3u8
八大戏剧频道,http://59.127.17.227:8591/http/61.67.128.137:8081/hls/66/808/ch23.m3u8
好莱电影频道,http://59.127.17.227:8554/http/61.67.128.137:8081/hls/74/816/ch55.m3u8
HBO电影频道,http://59.127.17.227:8580/http/61.67.128.137:8081/hls/71/813/ch41.m3u8
AXN电影频道,http://59.127.17.227:8582/http/61.67.128.137:8081/hls/71/813/ch43.m3u8
CineMaX电影,http://59.127.17.227:8559/http/61.67.128.137:8081/hls/71/813/ch42.m3u8
Amc电影频道,http://59.127.17.227:8583/http/61.67.128.137:8092/upload/115/AMC_TS-1111_1.m3u8
TAIWan_频道,http://59.127.17.227:8538/http/61.67.128.137:8081/hls/61/803/ch03.m3u8
MoMo亲子台,http://107.148.130.31:15826/tw/mk592.php?id=13
MoMo综频道,http://59.127.17.227:8553/http/61.67.128.137:8081/hls/76/818/momo_max.m3u8
CCTv4频道台,http://59.127.17.227:8569/http/61.67.128.137:8078/hls/42/80/cctv4.m3u8
海峡卫视频道,http://59.127.17.227:8570/http/61.67.128.137:8078/hls/42/80/fjttv.m3u8
厦门卫视频备,http://59.127.17.227:8568/http/61.67.128.137:8078/hls/42/80/xmtv.m3u8
东风卫视频道,http://59.127.17.227:8586/http/61.67.128.137:8081/hls/68/810/ch31.m3u8
浙江卫视频道,http://59.127.17.227:8571/http/61.67.128.137:8078/hls/41/80/zhejiang.m3u8
东方卫视频道,http://59.127.17.227:8572/http/61.67.128.137:8078/hls/41/80/east.m3u8
湖南卫视频道,http://59.127.17.227:8573/http/61.67.128.137:8078/hls/41/80/huana.m3u8
人间卫视频道,http://59.127.17.227:8506/http/61.67.128.137:8088/hls/69/811/ch36.m3u8
大爱电视频道,http://59.127.17.227:8507/http/61.67.128.137:8088/hls/73/815/ch52.m3u8
